,BrandName,Deatils,Sizes,MRPNum,SellPrice,DiscountPercentage,Category
23,life,womens 2 ply protective face mask - pack of 5 - multi,Nan,149,74,0.5,Westernwear-Women
17,clovia,womens cotton non-padded non-wired bra - black,"Size:32-B,32-C,32-D,34-B,34-C,36-B,36-C",171,119,0.3,Lingerie&Nightwear-Women
5,ayesha,womens sliver plated beads drop earrings - multi,Nan,198,99,0.5,Jewellery-Women
4,ayesha,womens silver plated earring - multi,Nan,198,99,0.5,Jewellery-Women
9,ayesha,womens metallic gold long chain with ring charm drop western earrings - multi,Nan,198,99,0.5,Jewellery-Women
2,ayesha,womens set of four neon stud earrings - multi,Nan,198,99,0.5,Jewellery-Women
3,ayesha,set of 3 quirky green flower rubber band for women - multi,Nan,198,99,0.5,Jewellery-Women
15,ayesha,womens set of four neon stud earrings,Nan,198,99,0.5,Jewellery-Women
20,ayesha,womens set of four neon stud earrings - multi,Nan,198,99,0.5,Jewellery-Women
23,ayesha,neon yellow hair clip for girls and women,Nan,198,99,0.5,Jewellery-Women
25,ayesha,womens set of four neon stud earrings - multi,Nan,198,99,0.5,Jewellery-Women
12,ayesha,womens metallic silver long chain with ring charm drop western earrings - multi,Nan,198,99,0.5,Jewellery-Women
7,ayesha,neon orange hair clip for girls and women,Nan,198,99,0.5,Jewellery-Women
14,pretty women,womens cubic zirconia golden anklet - multi,Nan,199,169,0.1,Jewellery-Women
10,ayesha,womens silver tree filigree with black hollow hoops ethnic earrings - multi,Nan,248,124,0.5,Jewellery-Women
1,ayesha,blue enamel tree shaped earrings - multi,Nan,248,124,0.5,Jewellery-Women
15,life,cotton nylon womens no show socks - pack of 3 - multi,Nan,249,124,0.5,Westernwear-Women
10,life,cotton nylon womens no show socks - pack of 3 - multi,Nan,249,124,0.5,Westernwear-Women
14,life,cotton nylon womens no show socks - pack of 3 - multi,Nan,249,124,0.5,Westernwear-Women
4,enamor,women printed panty - emerald,Size:Medium,249,174,0.3,Lingerie&Nightwear-Women
20,enamor,womens lace boy shorts - mystique vintage,"Size:Large,Medium,Small",270,189,0.3,Lingerie&Nightwear-Women
20,enamor,womens lace boy shorts - charcoal,"Size:Large,Medium,Small",270,189,0.3,Lingerie&Nightwear-Women
10,clovia,womens non-padded bra - purple,"Size:32-B,32-C,34-B,34-C,36-B,36-C,38-B,38-C,40-B",285,114,0.6,Lingerie&Nightwear-Women
23,stoln accessories,womens stylish hair band,Nan,295,236,0.2,Jewellery-Women
14,stoln accessories,womens stylish hair band,Nan,295,236,0.2,Jewellery-Women
0,stoln accessories,womens stylish hair band,Nan,295,236,0.2,Jewellery-Women
25,ayesha,womens gold plated earrings - multi,Nan,298,89,0.7,Jewellery-Women
8,ayesha,womens multi earrings,Nan,298,89,0.7,Jewellery-Women
2,ayesha,womens gold plated earrings - multi,Nan,298,89,0.7,Jewellery-Women
13,ayesha,womens gold plated earrings - multi,Nan,298,89,0.7,Jewellery-Women
0,ayesha,mens rugged brown leather adjustable multi-layer bracelet and necklace,Nan,298,89,0.7,Jewellery-Women
12,ayesha,womens silver plated earrings - multi,Nan,298,89,0.7,Jewellery-Women
19,ayesha,womens geometric metallic studs set of 6 pairs - multi,Nan,298,89,0.7,Jewellery-Women
12,ayesha,womens hearts and flowers metallic studs set of 6 pairs - multi,Nan,298,89,0.7,Jewellery-Women
19,ayesha,womens silver plated earrings - multi,Nan,298,89,0.7,Jewellery-Women
2,ayesha,chunky statement eiffel tower and pearl charms chain-link layered bracelet,Nan,298,149,0.5,Jewellery-Women
7,ayesha,womens sliver plated beads bracelet - multi,Nan,298,149,0.5,Jewellery-Women
1,ayesha,womens blue beaded multi string boho western bracelet - multi,Nan,298,149,0.5,Jewellery-Women
9,ayesha,womens set of 9 fluorescent pink and purple multi-shaped western style stud earrings - multi,Nan,298,149,0.5,Jewellery-Women
8,ayesha,set of three classic matte black claw clips,Nan,298,149,0.5,Jewellery-Women
5,ayesha,womens metallic silver set of 4 diamante studded western earrings - silver,Nan,298,149,0.5,Jewellery-Women
16,ayesha,womens multi colour stud earrings - set of 10 - multi,Nan,298,149,0.5,Jewellery-Women
13,ayesha,womens metallic gold and blue abstract form danglers ethnic earrings - multi,Nan,298,149,0.5,Jewellery-Women
